"","Men","Total","Women"
"Australia","78.3","71.0","64.0"
"Austria","72.6","66.1","59.9"
"Belgium","65.5","57.5","50.0"
"Canada","74.8","68.5","62.4"
"Chile","86.7","77.7","70.3"
"Czechia","87.5","79.3","70.2"
"Denmark","72.4","66.7","61.3"
"Estonia","77.1","74.8","72.7"
"Finland","68.2","63.7","59.1"
"France","68.6","59.8","51.9"
"Germany","74.1","66.9","59.4"
"Greece","64.0","50.6","39.9"
"Hungary","83.4","76.6","71.1"
"Iceland","74.2","75.3","76.2"
"Ireland","75.3","67.4","59.7"
"Israel","79.6","78.3","77.2"
"Italy","72.6","57.8","45.3"
"Latvia","74.4","70.8","68.0"
"Lithuania","75.1","70.6","66.6"
"Luxembourg","75.8","71.0","66.0"
"Mexico","56.2","47.4","39.1"
"Netherlands","73.8","67.4","61.9"
"New Zealand","84.8","78.1","71.6"
"Norway","70.8","68.0","65.1"
"Poland","86.1","76.4","65.9"
"Portugal","78.7","73.7","69.6"
"Slovak Republic","79.1","73.3","69.6"
"Slovenia","77.9","68.6","57.3"
"Spain","64.3","57.4","51.4"
"Sweden","68.5","63.0","57.4"
"Switzerland","83.7","77.0","70.4"
"Türkiye","60.3","40.1","24.1"
"United States","78.1","67.0","56.1"
