"","Country_EN","Score","Rank","journalists_killed","Population"
"1","Norway",95.18,1,0,5403021
"2","Ireland",89.91,2,1,4986525
"3","Denmark",89.48,3,0,5854246
"4","Sweden",88.15,4,0,10467095
"5","Finland",87.94,5,0,5535982
"6","Netherlands",87,6,1,17501696
"7","Lithuania",86.79,7,1,2786652
"8","Estonia",85.31,8,0,1328704
"9","Portugal",84.6,9,0,10290109
"10","East Timor",84.49,10,0,1320944
"11","Liechtenstein",84.47,11,0,39058
"12","Switzerland",84.4,12,0,8691409
"13","New Zealand",84.23,13,0,5129730
"14","Czechia",83.58,14,0,10510748
"15","Canada",83.53,15,1,38155012
"16","Latvia",83.27,16,1,1873926
"17","Slovakia",83.22,17,1,5447621
"18","Iceland",83.19,18,0,370338
"19","Samoa",82.15,19,0,218781
"20","Luxembourg",81.98,20,0,639330
"21","Germany",81.91,21,0,83408560
"22","Namibia",80.91,22,0,2530150
"23","Costa Rica",80.2,23,1,5153959
"24","France",78.72,24,8,64531450
"25","South Africa",78.6,25,2,59392256
"26","United Kingdom",78.51,26,0,67281040
"27","Australia",78.24,27,0,25921094
"28","Moldova",77.62,28,0,3061509
"29","Austria",77.3,29,0,8922086
"30","Trinidad and Tobago",76.54,30,0,1525671
"31","Belgium",76.47,31,0,11611416
"32","Jamaica",75.89,32,0,2827701
"33","Seychelles",75.71,34,0,106486
"34","Taiwan",75.54,35,0,23859904
"35","Spain",75.37,36,3,47486932
"36","Andorra",75.05,37,0,79057
"37","North Macedonia",74.35,38,0,2103329
"38","Montenegro",74.28,39,1,627856
"39","Argentina",73.36,40,2,45276788
"40","Italy",72.05,41,0,59240336
"41","Croatia",71.95,42,1,4060139
"42","Dominican Republic",71.88,43,3,11117873
"43","Tonga",71.29,44,0,106034
"44","United States",71.22,45,0,336997630
"45","Gambia",71.06,46,1,2639922
"46","South Korea",70.83,47,0,51830136
"47","Suriname",70.62,48,0,612989
"48","Armenia",70.61,49,0,2790971
"49","Slovenia",70.59,50,0,2119408
"50","Belize",70.49,51,0,400037
"51","Uruguay",70.33,52,1,3426265
"52","Romania",69.04,53,0,19328558
"53","Cyprus",68.62,55,1,1244193
"54","Kosovo",68.38,56,0,1662022
"55","Poland",67.66,57,2,38307724
"56","Burkina Faso",67.64,58,1,22100690
"57","Papua New Guinea",67.62,59,0,9949438
"58","Guyana",67.5,60,0,804571
"59","Niger",66.84,61,0,25252722
"60","Ghana",65.93,62,2,32833036
"61","Mauritius",65.56,63,0,1298922
"62","Botswana",64.61,65,0,2588424
"63","Liberia",64.34,66,0,5193422
"64","Lesotho",64.29,67,1,2281464
"65","Japan",63.95,68,1,124612530
"66","Panama",63.67,69,1,4351264
"67","Togo",63.06,70,0,8644829
"68","Bulgaria",62.98,71,0,6885864
"69","Hungary",62.96,72,0,9709784
"70","Malaysia",62.83,73,0,33573870
"71","Sierra Leone",62.55,74,9,8420642
"72","Comoros",62.25,75,0,821632
"73","Georgia",61.69,77,1,3757984
"74","Guinea-Bissau",61.57,78,0,2060730
"75","Ukraine",61.19,79,7,43531424
"76","Ecuador",60.51,80,3,17797736
"77","Malawi",60.34,82,0,19889742
"78","Chile",60.09,83,0,19493184
