;en %;;;;;
Lettonie;-46,7;;;;;
Lituanie;-30,9;;;;;
Hongrie;-30,0;;;;;
Croatie;-10,4;;;;;
Grèce;-9,2;;;;;
Bulgarie;-5,7;;;;;
Slovaquie;-2,3;;;;;
Luxembourg;-0,3;;;;;
Tchéquie;1,1;;;;;
Portugal;5,7;;;;;
Belgique;13,0;;;;;
Italie;13,2;;;;;
Pologne;13,5;;;;;
Suède;14,0;;;;;
Roumanie;15,5;;;;;
Allemagne;16,1;;;;;
Slovénie;19,3;;;;;
Malte;20,8;;;;;
Pays-Bas;21,0;;;;;
Espagne;22,6;;;;;
Autriche;24,2;;;;;
Finlande;25,2;;;;;
Estonie;48,7;;;;;
Chypre;52,6;;;;;
UE28;57,0;;;;;
France;59,6;;;;;
Irlande;71,4;;;;;
Royaume-Uni;98,3;;;;;
Danemark;134,0;;;;;
